id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,102419.0,2043104794419,1,2043104794419,75022331327,105077.0,100992.0,-2479.3877918668004,-2.3636,-49965320104.196045,-2.38718,19948012.0,19948012.0,21000000.0,126080.0,-18.38498,2025-10-06T18:57:42.558Z,67.81,151649.94536,2013-07-06T00:00:00.000Z,,2025-11-13T13:35:02.138Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3451.87,416919569840,2,416919569840,38404316684,3583.32,3374.02,-109.31399989195006,-3.0696,-12889921928.161987,-2.99898,120696447.9668856,120696447.9668856,,4946.05,-29.49423,2025-08-24T19:21:03.333Z,0.432979,805308.69016,2015-10-20T00:00:00.000Z,"{'times': 44.08667615190341, 'currency': 'btc', 'percentage': 4408.667615190341}",2025-11-13T13:35:04.456Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,184093791266,3,189562199883,107574044353,1.001,0.999483,0.0002636,0.02636,600922108.0,0.32749,184044208799.5073,189511144596.0662,,1.32,-24.42561,2018-07-24T00:00:00.000Z,0.572521,74.65232,2015-03-02T00:00:00.000Z,,2025-11-13T13:35:07.363Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.47,148427341918,4,246902581916,5668257764,2.52,2.32,0.0309887,1.27122,1869151885.0,1.27537,60107199237.0,99985774127.0,100000000000.0,3.65,-31.89656,2025-07-18T03:40:53.808Z,0.00268621,92346.67873,2014-05-22T00:00:00.000Z,,2025-11-13T13:35:05.838Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,960.98,132363824410,5,132363824410,1593288217,977.21,940.83,-11.830869283071934,-1.21615,-1516778187.7328033,-1.13293,137737127.42,137737127.42,200000000.0,1369.99,-29.51579,2025-10-13T08:41:24.131Z,0.0398177,2425022.01553,2017-10-19T00:00:00.000Z,,2025-11-13T13:35:01.740Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,154.96,86013909173,6,95318520599,5856204814,160.79,151.65,-4.806705136874172,-3.00863,-2473855591.0338745,-2.7957,554029737.8490839,613962270.6062415,,293.31,-46.80201,2025-01-19T11:15:27.957Z,0.500801,31057.28432,2020-05-11T19:35:23.449Z,,2025-11-13T13:35:06.315Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999736,76018645420,7,75999327689,13389625868,0.999899,0.9997,2.931e-05,0.00293,-24949490.465667725,-0.03281,76033779466.9872,76014457890.51825,,1.17,-14.74415,2019-05-08T00:40:28.300Z,0.877647,13.91835,2023-03-11T08:02:13.981Z,,2025-11-13T13:35:07.715Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3455.03,29870399576,8,29870399576,86361440,3580.05,3377.28,-108.9640620603277,-3.05736,-856525111.0310555,-2.78754,8632443.545570293,8632443.545570293,,4932.89,-29.36351,2025-08-24T19:21:31.902Z,482.9,621.56766,2020-12-22T04:08:21.854Z,,2025-11-13T13:35:05.970Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.298012,28212602605,9,28212631470,697760633,0.300383,0.293879,-0.00219247514400589,-0.73033,-206011413.20249176,-0.72492,94669243342.4969,94669340202.0032,,0.431288,-30.88898,2024-12-04T00:10:40.323Z,0.00180434,16419.47509,2017-11-12T00:00:00.000Z,"{'times': 155.8482412612613, 'currency': 'usd', 'percentage': 15584.824126126132}",2025-11-13T13:35:07.389Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.174853,26543972797,10,26544744185,1991645333,0.17815,0.167535,-0.001647771557443334,-0.93358,-236959615.11753082,-0.88481,151751146383.7052,151755556383.7052,,0.731578,-75.9994,2021-05-08T05:08:23.458Z,8.69e-05,201943.23687,2015-05-06T00:00:00.000Z,,2025-11-13T13:35:11.136Z
