id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,102084.0,2035817816757,1,2035817816757,47055771211,102558.0,101490.0,-320.7109836148302,-0.31318,-4153543511.7927246,-0.20361,19946325.0,19946325.0,21000000.0,126080.0,-19.0702,2025-10-06T18:57:42.558Z,67.81,150375.89912,2013-07-06T00:00:00.000Z,,2025-11-09T09:26:10.766Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3431.99,414024068198,2,414024068198,18246009817,3460.65,3360.28,-25.07362570917985,-0.72529,-2734043148.767456,-0.65603,120696609.8489534,120696609.8489534,,4946.05,-30.67507,2025-08-24T19:21:03.333Z,0.432979,791819.63899,2015-10-20T00:00:00.000Z,"{'times': 43.94891022083944, 'currency': 'btc', 'percentage': 4394.891022083944}",2025-11-09T09:26:11.674Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999892,183453097587,3,183453097587,62061556036,0.999932,0.999537,0.00030429,0.03044,76740890.0,0.04185,183470378260.1311,183470378260.1311,,1.32,-24.42841,2018-07-24T00:00:00.000Z,0.572521,74.64584,2015-03-02T00:00:00.000Z,,2025-11-09T09:26:08.484Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.29,137488725967,4,228706658671,2388602792,2.32,2.25,-0.03437586916186586,-1.47999,-1814387879.448578,-1.30247,60107199237.0,99985774127.0,100000000000.0,3.65,-37.28896,2025-07-18T03:40:53.808Z,0.00268621,85026.78741,2014-05-22T00:00:00.000Z,,2025-11-09T09:26:06.881Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,995.27,136835959727,5,136835959727,1389359050,1004.48,977.48,-4.567301388047326,-0.4568,-933928732.574173,-0.67789,137737355.75,137737355.75,200000000.0,1369.99,-27.51891,2025-10-13T08:41:24.131Z,0.0398177,2493727.87162,2017-10-19T00:00:00.000Z,,2025-11-09T09:26:11.622Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,159.65,88338183898,6,97927262884,3433244220,162.1,155.51,-2.061299221141155,-1.27464,-1152013420.6207275,-1.28731,553592040.8390299,613684263.3780174,,293.31,-45.60055,2025-01-19T11:15:27.957Z,0.500801,31760.96753,2020-05-11T19:35:23.449Z,,2025-11-09T09:26:07.290Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9998,75685289317,7,75689976857,6122930848,0.9999,0.999701,-7.738315456518e-05,-0.00774,-53657276.48416138,-0.07085,75700313279.97379,75705001750.19626,,1.17,-14.74618,2019-05-08T00:40:28.300Z,0.877647,13.91564,2023-03-11T08:02:13.981Z,,2025-11-09T09:26:09.950Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3429.36,29593189676,8,29593189676,28387515,3458.11,3357.92,-23.533306911885575,-0.68155,-206791449.375885,-0.69393,8631412.259235786,8631412.259235786,,4932.89,-30.50247,2025-08-24T19:21:31.902Z,482.9,609.9329,2020-12-22T04:08:21.854Z,,2025-11-09T09:26:07.101Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.290055,27458076826,9,27458400241,389574979,0.292523,0.289063,-0.001927537258743228,-0.66016,-178615956.61699295,-0.6463,94666859826.17941,94667974859.03311,,0.431288,-32.75251,2024-12-04T00:10:40.323Z,0.00180434,15974.03988,2017-11-12T00:00:00.000Z,"{'times': 151.66033211601268, 'currency': 'usd', 'percentage': 15166.033211601269}",2025-11-09T09:26:08.445Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.174856,26488095829,10,26492226019,1514407698,0.181492,0.171623,-0.006291238454048248,-3.473,-925172784.6311188,-3.37491,151674246383.7052,151697896383.7052,,0.731578,-76.13977,2021-05-08T05:08:23.458Z,8.69e-05,200761.55092,2015-05-06T00:00:00.000Z,,2025-11-09T09:26:12.553Z
